출처,작성자,날짜,내용,공감,답글수,원댓글ID
뉴스,@user-ju8ss6jx4v,2023-07-22 11:17:47,"중국한테 지킬 준비도해요

너무예뻐서 또 지네꺼라고 우길꺼 같은데",0,,Ugw-0-RFzjj_7VjKEBx4AaABAg
뉴스,@user-ye5dx2ky2o,2023-07-22 11:18:02,심청이가 흑인이 아니네 무효!!,0,,Ugw-9jVWqLEs9CCzmc14AaABAg
뉴스,@user-bk9ms8tj5t,2023-07-22 11:18:06,알겠습니다,0,,Ugw-Hac8h5aKyf9Ay4B4AaABAg
뉴스,@user-ys5xv9nr8c,2023-07-22 11:17:53,"한국적인 면은 하나도 안보이고 그냥 디즈니 캐릭터일 뿐입니다...
뭐가 뭔지는 구분좀 합시다...",0,,Ugw-VppyKsxGTB2fd1p4AaABAg
뉴스,@wpoijwelifongewqth2775,2023-07-22 11:17:50,이미지가 디지니 스럽네 ㅋㅋㅋㅋㅋㅋ,0,,Ugw-qQL9eFJLz3eu7MJ4AaABAg
뉴스,@user-ik7jt4rm6k,2023-07-22 11:17:47,근데 한복.....너무 이쁘다 진심...,0,,Ugw-qRx8Cbw_uIG1A354AaABAg
뉴스,@hotewang,2023-07-22 11:18:03,언뜻보면 화려하고 그럴듯 하게 해 놨지만 참고는 될 지언정 어디 내놓을 만한 작품은 아니다.,2,1,Ugw-xpifDUdMhSleOOB4AaABAg
뉴스,@user-kv6cy7ve5k,2023-07-22 11:18:04,ㅋㅋㅋㅋㅋㅋㅋㅋ 관련직업종사자이신가요?,0,,Ugw-xpifDUdMhSleOOB4AaABAg.9glBz9y_RCc9glYMiEPXbG
뉴스,@user-du4en5fp8z,2023-07-22 11:17:55,"영상미 좋은 건 알겠는데
원작의 주제인 희생과 헌신이랑 너무 괴리감이 느껴져서 끝까지는 못 봤음.
너무 디즈니 풍을 의식해서 각색에 미스가 있지 않았나 생각함.
마치 라푼젤이나 겨울왕국에 한국풍 스킨만 씌운 느낌임.",7,1,Ugw0KunDqmvvLaa6nsN4AaABAg
뉴스,@user-vh9zj8mk9j,2023-07-22 11:17:55,좋게 보면 디즈니 라는 느낌에 충실하게 잘 만든거죠 그래도 신선하긴 합니당,0,,Ugw0KunDqmvvLaa6nsN4AaABAg.9gn4A20n6jH9grnb5PIVOW
