출처,작성자,날짜,제목,내용,공감,비공감,조회수
네이버리뷰,,,광대: 소리꾼 _ 묘한 매력 뿜뿜 판소리버전 뮤지컬영화,"​
네이버평점이 무려 8.71점.
우연히 발견한 원석 같은 영화.
뭔가 투박하면서도 묘하게 매력이 있어 끝까지 눈물 찔끔거리며 보게되는 영화.
심청전을 모티브로 한 영화라 뻔한 내용같지만 그럼에도 불구하고 뭔가 감동적이다.​​
​
​
특히 판소리부분이 참 묘하게 끌린다.
옛날 어투라 의미가 잘 안와닿으면서도 이봉근 배우님의 목소리가 심금을 울리는 듯하여 괜히 울컥하게 된다랄까?
게다가 인당수 장면은 한국판 영화 레미제라블을 보는 느낌까지 들다니...
판소리버전 뮤지컬 영화라니 신선 그자체.
​
아이들과 보면 좋겠다라는 생각이 들었지만, 이내 아이들은 좀 지루해할 수도 있겠다 싶기도...
판소리에 관심이나 지식이 있는건 아니지만,
우리네 한 서린 깊고 애잔하면서도 익살맞은 판소리를 실컷 감상할 수 있어서 참 좋았다.
게다가 결말도 깔끔해서 더욱 맘에 드는 영화!​​
​
​
​​
​",,,
네이버리뷰,,,소리꾼의 절절한 인생을 담은 영화 < 광대:소리꾼>,"영화 < 광대:소리꾼 >은 2020년에 개봉한 영화 '소리꾼'의 감독판이라고 볼 수 있는데요. 재개봉이 아니고 새개봉이 확정된 이유에는 출연진들이 바뀌었기 때문이라고 생각이 들더라구요. 주연배우로는 이봉근, 이유리, 김하연, 박철민, 김동완, 김민준 배우들이 영화에 참여하고 있었는데요. 특히 이봉근 배우는 국안인으로서 판소리의 정통소리를 보여주고 있어 영화에 몰입하여 볼 수 있었어요. 영조 10년 조선의 모습을 배경으로 담은 영화 < 광대:소리꾼 >의 줄거리를 살펴보자면, 어딘가에 뛰어난 소리 실력을 가지고 있는 사당패와 함께 잔치판이 벌려졌다하면 모인 사람들의 얼굴에 웃음꽃을 피울 수 있도록 흥을 돋구고 있는 소리꾼 심학규와 삯바느질을 하는 아내 가난, 딸 청이가 살고있었는데요. 화목한 것도 잠시, 어느날 납치된 청이를 탈출시키는데 성공하지만 청이는 도망치던 중 산에서 떨어지는 바람에 머리를 다치게 되고 이 이후에는 시력을 잃게 되었어요. 여기에 설상가상으로 사라진 아내 간난을 찾아 나선 소리꾼 학규와 딸 청이는 새로운 광대패들과 함께 흥과 한이 담긴 전국팔도의 여정을 시작하게 되면서 생기는 이야기를 담은 영화로 우리에게는 익숙한 춘향전의 이야기를 각색하여 풀어내고 있었어요. 조선 팔도를 무대로한 서민들의 흥과 한을 풀어내고 있는 영화 < 광대:소리꾼 >은 다가오는 2월 24일날 개봉을 앞두고 있었는데요. 우리나라만의 소리가 담긴 영화를 통해 가족의 사랑도 그리고 음악에 대한 열정도 볼 수 있었어요. 가장 한국적인 영화를 통해 큰 감동을 느끼고자 하신다면 이 영화 추천합니다.",,,
네이버리뷰,,,"최종윤 의원과 함께하는
              영화 ‘광대 소리꾼’ 상영회","하남청년포럼에서 주최하고 더불어민주당 하남시지역위원회(위원장 국회의원 최종윤)가 주관한 영화 ‘광대 소리꾼’상영회가 하남 미사 CGV에서 7일 개최됐다.
​
이날 상영회에는 최종윤 국회의원과 민주당 하남시·도의원을 비롯하여 하남시지역위원회 핵심당원 및 하남시민 100여 명이 관람했다.
​
‘광대 소리꾼’을 연출한 조정래 감독이 함께 참석해 작품에 대한 이해와 공감을 넓힐 수 있도록 직접 시민들과 소통하는 시간도 마련됐다.
​
영화 ‘광대 소리꾼’은 2020년 개봉한 ‘소리꾼’을 새롭게 편집해 우리의 소리와 장단에 맞춰 민족의 흥과 한을 담아낸 판소리 영화이다. 위안부 피해자들의 삶을 담았던 영화 '귀향'을 어렵게 세상에 내놨던 조정래 감독은 소리로 먹고사는 사람들의 이야기 '광대 소리꾼'으로 세상에 하고픈 또 다른 이야기를 꺼냈다.
​
이 자리에 참석한 조정래 감독은 “이 영화는 본래 남북합의로 제작을 하려고 했으나 안타깝게도 원활한 진행이 되지 않아 마지막 장면에 북한의 풍경을 4K 카메라로 담았다”라고 말하며, “앞으로도 전국을 다니며 영화 상영을 진행하려고 하니 영화에 대한 홍보와 성원을 부탁드린다.”고 당부의 말을 전했다.
​
최종윤 의원은 “다양한 시대의 소리를 작품에 반영하는 조정래 감독님의 열정이 고스란히 담긴‘광대 소리꾼’이라는 영화를 통해 더욱 다양한 만남과 연결이 진행되기를 바란다.”고 소감을 전한 뒤, “하남시지역위원회가 지역의 여러 단체들과 공동으로 문화를 통한 네트워크 강화의 자리를 마련함으로써 정당이 갖는 편견과 상식을 넘어 문화와 인문이 있는 하남시지역위원회로 새롭게 도약할 수 있도록 지속적인 노력을 기울이겠다.”며 앞으로의 다짐을 밝혔다.
​
영화를 관람한 시민들은 “한국의 소리로 고전과 현대를 엮어낸 한 편의 뮤지컬 같다.”,“눈물도 나게 하고, 웃음도 나게 하는 묘한 영화다”, “화려하지는 않지만 감동의 순간이 있는 명품 배우들의 영화였다.” 등의 소감을 전하기도 했다.
​
이날은 유료 상영회로 진행되었으며, 행사를 주최한 하남청년포럼은 앞으로도 민주당 하남시지역위원회와 논의하여 문화교류를 통한 시민들과의 소통을 강화하겠다고 말했다.",1,,
네이버리뷰,,,영화/광대;소리꾼,"#영화
#광대;소리꾼​
​
​
""귀향""의  조정래 감독이  만든  영화.
​
게다 남북 합작품으로 했다니
더더욱 기대가 컸던  영화.
​
재개봉 한다해서  인근  영화관을  뒤지니
거의  하루  한편만  상영한다.
코시국이라  좌석 걱정없이
집근처  동탄 매가박스로  핸들을  돌리다.
주차장이  짜증나게  좁고  불편하다.
간신히 주차하고 상영관으로 가니,
예매한  사람이  하나도  없어
상영을 내렸다는 것이다.
헉 ㅠ  이런 짜장.
​
급히  인근   영화관을  찾으니
동수원 CGV는  서너시간 뒤  상영.
평택 CGV는  가다가  영화 반  놓칠 판이고
안성 CGV가  한시간 뒤  상영하다.
​
다시 한시간  핸들을 돌려  안성으로~~~
상영 내릴까봐 허겁지겁  예매.
안성  도착하니  상영  5분전.
극장에  앉으니  관람객은  나  하나ㅡㅋ
​
심청전을 플롯으로 하여
납치된  아내를 찾는  여정을  그린  영화.
심청전 가사에 콕  콕 박혀
다소  찔끔 찔끔 눈물이나온  감동을
망가트리는
어수선한 시나리오.
​
영화 보는  내내
멋진 산의 배경이  어디지 ? 갸우뚱 갸우뚱하니
북한의 묘향산.비로봉 등~이였다.
​
영화를  보는 내내  헛웃음이  날 정도로
다소 실망스러웠던  부분 부분을
북한의 절경과  이봉근의 소리로 다소 위안을  삼다.​
​
​
​
​​
​",1,,
네이버리뷰,,,"영화 <광대:소리꾼> 관람 후기 :
              아역대박-촬영지?","영화 <광대 : 소리꾼> (소리꾼 감독판) 관람 후기 간단히 남겨요! 광대 : 소리꾼 영화에 기대않고 있었는데 재밌다는 평에 반신반의하며 관람하고 왔어요! 1. 음 영화 첫인상은요. 화면 분위기가 드라마 사극 느낌이었어요. 조명 등에서 크게 멋부리지않고 미술도 적절한 모습 등이요. 2. 그리고 초반 가족 씬에서 자연스럽지도 않지만 어색하지도 않은 이상한 느낌의 아빠(학규) 역의 연기자를 처음엔 ""?!?""하면서 봤는데요ㅋㅋ 하지만마지막 판소리 장면에서 입을 못다물게 하는 명연기를 펼쳐서 느낌은 ""!?!""이렇게 변했어요ㅋㅋㅋ ?!? 에서!?!으로. 목숨 건 판소리 장면은 정말ㅠㅠ (한편 자꾸방송인 유병재가 주연배우와 겹쳐 떠올라서ㅠㅠㅋㅋ) 3. 영화를 보면서 좋은 배우들이 많이 등장해서 왜일지 궁금했는데 그스토리 인 스토리 구조가 되면서 고전 이야기를 다르게 풀어가는 스토리가 너무 좋더라고요. 1인 2역연기하는 배우들을 통해서 판소리 안팎이 어떻게 연결되었는지 상상할 수 있는 부분도 좋았어요. 또 기존에 '소리꾼'을 다룰 때는 주로 가창하는 존재로만단순히 그려졌는데 다른 시선을 통해 발견케한 부분도 좋았어요. 영화에는 소리꾼이 '작가'로창작하는 부분도 그려졌고요. 또 판소리라는 장르에서 소리꾼은 가창뿐 아니라어떤MC이자 '이야기'를 전하는나레이터가 되니 '심청전'의 '영화화'라는 면에서 더욱 영화의 주인공 설정과 이야기 구조가 맞아 떨어지는 듯 기발하게 느껴지더라고요. 4. 딸 역 배우 김하연이 너무 잘하더라고요. 아역배우 장면은 정말 꼭 봐야하는 장면으로 추천하고 싶어요! 배 위의 청이 장면도 미쳤고. 할머니 앞에서 소리하는 장면도 너무 좋고. 판소리를 하는 아이를 섭외했는줄 알았는데 아역배우 활동을 2016년 부터 했나봐요. (더충격) 김하연 양은 드라마는 많은 작품 출연했는데 쌈마이웨이 송하윤 아역, 여우각시별 채수빈 아역, 출사표 구세라 아역, 미스마 복수의 여신, 엉클 예소담 역 등을 연기했고. 영화 창궐의 공주역과 82년생 김지영 아역이었다고 해요. 5. 영화 포스터를 처음 봤을 때 가장 궁금했던 것이 약간 저예산 느낌이고 또 영화인데, 왜 배우 이유리일까였어요. (개인적으로 배우 이유리 연기에 감동받은 순간이 많아서 좋아하고, 드라마에서 많이 볼 수 있던 배우라서) 영화를 보며 쉽게 납득했어요. 영화 전반이 품은따뜻한 기운도 좋았고. (절망적인 상황이어도 따뜻하죠.) 판소리 뮤지컬드라마로 의미있고 특별한 영화인 부분도 좋았고. (위에 썼지만) 이야기 속 이야기를 다루는 단조롭거나 쉽거나 게으른 작품이 아니어서. 배우 이유리는 판소리 영화이지만 감정 연기로풀어서 노래하는 씬을 소화하는데 역시 집중도에 관객을 순식간에 몰입시키고. 되새겨보면 갓난이를 위한 맞춤 곡 같아서 감독과 배우의 연구가 통하는 느낌이었어요. 6. 영화 보면서 한 켠으로 한국판 <아네트>도 보고싶다는 생각을 하면서 보게됐어요ㅋㅋㅋ 판소리 뮤지컬인데 대사의 거의 전부를 판소리로소화...하는... (하지만 자막을 넣어야 할까요?) 아니면랩으로 소화..... 아니 얼마전에 '트로트'의 파급력을 확인할 수 있었는데 트로트 뮤지컬 영화... 그런데 판소리나 트로트 뮤지컬 장르물인데 필수로 미술이랑 컬러가 끝장나고 감독 주제의식이 생생하게 숨어있는 그러한 영화를 볼 수 있다면 하는..... (한국의 감독님들에게 부탁을 하고싶..) 이러한 갈증을 풀기위해 우선 소리꾼 원작과 영화 판소리복서와 라임크라임을 봐야겠어요. 7. 영화는 허가받고 이북에서도 사전로케이션 촬영됐다고 해서 영화를 다 본 후에 작은 충격을 받았어요. 황해북도범바위, 송도원 해수욕장, 평안북도묘향산 비로봉, 싱평군 남강, 이선남 폭포, 소두류산, 향신천, 등등에서 촬영됐다고 해요. 소리꾼 감독판 관람 후기 결론은 영화적 완성도가 엄청나거나 화려한 영화는 아니지만 따뜻한 순간, 감동의 순간이 있었고 배우들의 열연이 좋았고 판소리 라이브 명장면이 영화관용이었던 작품이었어요. #영화 #광대소리꾼 #후기 #관람후기 #광대소리꾼관람평 #문화",1,,
네이버리뷰,,,2022. 2. 27. 영화 <광대: 소리꾼> 관람 후기,"#광대소리꾼 #광대소리꾼감독판 #영화광대소리꾼 #영화추천 #CGV서프라이즈쿠폰 #CGV소풍

영화 광대: 소리꾼- 토 일 연달아 보니 재미나고 좋았어요💕",1,,
네이버리뷰,,,재개봉 광대 소리꾼 시사회를 다녀와서,"기회가 돼서 광대 소리꾼을 보고 왔어요.
판소리가 있는 것 같아서 서편제 생각을 하고 갔는데,..
한국판 레미제라블 같다는 생각이 들었어요.
​
예전에 레미제라블을 보면서 영화인데
대사를 노래로 하는 게 신기했는데
그 정도로 전부 판소리는 아니었지만
광대 소리꾼에서는
적절한 판소리가 스토리 진행에 무리가 없었고
(사실 판소리를 좋아하지 않는데도)
오랜만에 재미있는 판소리를 듣고 왔습니다^^
​
스토리는 영조 10년 사라진 아내 간난을 찾아 나서면서
소리꾼 학규와 그의 딸 청이, 새로운 광대패들과 함께
이야기가 전개돼요.
​
​
광대 소리꾼
출연진에 대해서 말을 안 할 수가 없죵.
저는 사실 남주인 이봉근 님을 처음 봤는데
연기도 판소리도 너무 잘해서 깜짝 놀랐는데
KBS 국악 대상에서 대상, 판소리상 외
대한민국 문화연예대상 영화 남자 신인 상도 받은
인재였네요.
​
유명한 조연분들이야 말할 것도 없고
(박철민 님 자꾸 살 빠지셔서 마음이 너무
아프다 눈.ㅜㅜ)
​
딸 청이로 나오는 김하연 님이
단연 돋보였는데요 어린 나이에 어찌나
연기를 잘하는지 딸 청이가 나오는
장면들마다 울컥울컥했어요.
​
""82년생 김지영""에서 12세 지영 역으로
""창궐""에서 소원 세자 딸인 공주 역으로
그 외에도 다수의 작품에 출연했는데
앞으로 크게 될 배우인 것 같아요.^^
​
​
조정래 감독님이 광대 소리꾼 상영 후 나오셔서
무대인사를 하셨는데요,
고법을 이수하신 고수시라고 하네요.
판소리할 때 옆에서 북 치는 사람 있잖아요?
고수.
그런 감독님이라 이렇게 좋은 영화를 찍었나 봐요.
​
​
이렇게 감독님 외 배우 세 분이 오셨네요.
영화로 보다가 이렇게 실제로 보니
세 분 모두 배우는 배우네요.
인물들이 반짝반짝. 너무 멋졌어요.^^
​
​
임성철 님은 영화에서 땡중으로 나오는 배우분이고
정무성 님은 일본 무사?로 나오는 배우분인데
실제로 재일교포 시라고 해요. 말투가 일본식 한국어.ㅋㅋㅋ
영화로 보던 분들을 실제로 보니 오~~~정말 신기했어요.
​
영화 촬영 시 북한에 방문해서도 찍었는데
그때 정무성 님 사촌을 만났던 일화도 말씀해 주셨는데
펑펑 우셨답니다. 듣기만 해도 맘이 짠했어요.
영상으로 올릴게요.
​
​
​
​
​
광대 소리꾼
포스터에 사인도 받고
함께 사진도 찍어주셨어요.
조정래 감독님 말씀도 참 좋게 해주시고
마음이 따뜻한 분인 것 같아요.
​
일전에 신과 함께 시사회도 다녀온 적 있는데
배우들이 나와서 무슨 TV에 나온 사람처럼
멀게 느껴지고 인사만 하고 들어가던데
이번엔 완전히 다른 분위기였어요.
김하연 배우님의 영화 속 판소리도
한 부분 듣고,
너무 인간미 있었네요~^^
​
참, 마지막에 나오는 분들 올라가는 자막에
북한 풍경들이 나오는데
이번 개봉 때 감독판으로 편집해서 재개봉하는 거라
이전 개봉 땐 없던 장면이라고 하네요.
때묻지 않은 북한 자연 풍경의 웅장함을 볼 수
있었어요.
​
2020년 개봉됐다가 재개봉하는 영화 광대 소리꾼.
짧게 며칠 개봉되니 많이들 보러 가셨으면 좋겠어요.",1,,
네이버리뷰,,,[재개봉영화 광대소리꾼]구로CGV전세 내서 본 후기,"제법 긴 추위가 계속되는 2월, 오랜만에 엄니와 극장나들이
작년 구로 CGV가 가까운 곳으로 이사를 가시는 바람에 자주 가게 되었다.
마트 장보러 밥먹으러 기타등등
오미크론이 절정이라 예상대로 극장은 매우 한산했다.
하긴 작년에도 7~8명씩 앉아서 본 영화들이 제법 있었던듯.
시간에 볼 수 있는 영화는 단 두편, 청불인 '인민을 위해 복무하라'와  '광대 소리꾼'뿐
엄니께선 딸내미랑 청불영화는 보기 민망하셨던지 소리꾼을 선택.
잉? 극장에 사람이 없네. 계속 없네.
헐~~~엄마랑 단둘이 보게 됨.
ㅋㅋㅋ 난생처음.
극장 전세 냈네.
무튼 정보없이 들어왔는데 어쩐지 이상.
이거 예전에 출발~~에서 봤는데?!
아니나다를까 2020년 개봉작인데 재개봉이란다.
출연진은 매우 익숙한 분들이 많이 나온다.
스토리야 뭐 뻔~~~하다.
주인공은 진짜 소리꾼이네. 꽤 유명한 분인갑다.
곳곳에 소리는 괜찮다. 친절한 자막도 좋고.
연기에 구멍도 없으나 내용은 상상했던 그이상도 이하도 아니다.
아역은 진짜 칭찬할만.
요즘 애들 진짜 잘하네.
영화중 인당수 선원들 떼창 장면은 소리가 아니라 뮤지컬.
뭐 엄니랑 둘뿐이라 극장서 소리내서 대화도 하고 휴대폰도 눈치 안보고 봄.
무매너 진상ㅋㅋㅋ
그나저나 이렇게 관객이 없으니 참 영화 만든 사람들 진 빠질듯.
지난번 '경관의 피' 보면서도 이 얘기했었는데.
그래도 울엄니는 눈물 콧물, 재미있었다고 하시네.
그럼 됐지 뭐~~~
이 넓은 상영관에 우리 둘 ㅋㅋ
얼른 코로나와 빠이빠이해서 팝콘 먹으며 영화보고 싶다.
#광대소리꾼#구로cgv#엄마랑데이트#이봉근#이유리",1,,
네이버리뷰,,,"<광대: 소리꾼> 오늘 새개봉 예매 6위 껑충 김보경 작가 ""혼탁한 영화...","영화 ‘광대: 소리꾼’이 24일 새개봉했다. 소설가 양승언 작가의 극찬 릴레이에 이어 문학다방봄봄 대표이자 '낭독은 입문학이다'의 저자인 김보경 작가가 영화를 추천하고 나섰다.
[배급: 트윈플러스파트너스㈜|제작: 제이오엔터테인먼트|감독: 조정래|출연: 이봉근, 이유리, 김하연, 박철민, 김동완, 김민준]
김보경 작가는 “어지럽고 혼탁한 시대, 우리 마음을 위로하고 따듯하게 감싸 안는 힐링 영화 한편이 개봉된다”면서 “이모저모로 아낌없이 봐줄만한 우리나라 우리 영화”라며 ‘광대: 소리꾼’의 관람할 것을 지지했다. 김작가는 ‘광대: 소리꾼’이 “영화사에 보기 드문 판소리 뮤지컬극이자 역사추리물”이자 “이제껏 한국 역사물에 한번도 등장하지 않은, 현대 미드에서나 나올 법한 드라마틱한 요소와 더불어 당시 백성들 사이에 인기가 하늘을 찌르던 심청전 광대예술단의 소리극 거리 공연이 실황중계 방식으로 장면을 이끈다”고 칭찬했다. 이어 “서사는 기승전결의 전통적 기법을 따르되 중첩적인 구조, 즉 옴니버스로 짜여 흥미를 더한다”고 덧붙였다.특히 “소리가 절창 중에 절창이고, 가슴이 뛰며 어깨춤이 절로 나게 한다. 가슴 한구석 묵은 한이 씻기듯, 시원한 눈물이 흐르고, 이 혼탁한 시대에서 짜부러진 머리가 홀가분해진다. 거기다 통쾌한 마지막 장면은 가슴을 후련하고도 뜨겁게 만든다”며 추천을 아끼지 않았다.여기에 “이봉근 배우의 판소리 절창에서, 그리고 통쾌한 마지막 장면에서 카타르시스와 힐링이 찾아오는 이 시대의 힐링 영화다. 북한에서 찍은 묘향산 비로봉이나 각종 명승지, 원산 앞바다 풍경 등은 남한의 산천과 달리 호쾌해서 눈호강마저 시킨다”면서 꼭 극장에서 볼 것을 당부했다.이러한 셀럽들과 언론, 관객들의 추천에 힘입어 ‘광대: 소리꾼’은 실시간 예매율 6위로 올라서며 새개봉에 대하여 큰 관심을 모으고 있다. 영화 ‘광대: 소리꾼’은 사람들을 울리고 웃긴 광대들의 이야기를 모두를 하나로 만든 우리의 소리와 장단에 맞춰 담아낸 작품이다. 소리꾼 학규와 그의 딸 청이는 사라진 아내 간난을 찾기 위해 전국팔도를 돌아다니며 광대패를 만들어 민초들의 흥과 한을 담은 소리로 희망을 찾아간다. 영화의 연출을 맡은 조정래 감독은 민초들의 소리가 세상을 바꾼다는 최초 기획 의도를 더 깊게 반영할 수 있도록 음악의 수정과 기존 컷들의 교체하고 편집되었던 영상을 추가하는 등의 과정을 거쳐 60% 이상 바꿨다. 보여주고 싶었던 이야기의 의도를 더 깊게 반영할 수 있도록 캐릭터의 서사를 다듬고, 남북 합작영화로 추진했던 감독의 남북 화합의 소망을 반영해 북한의 수려한 절경을 담은 새로운 영상도 넣었다. 제목도 민초들의 애환을 노래하는 진정한 소리꾼인 광대들을 강조하는 ‘광대: 소리꾼’으로 변경해 영화의 주제를 더욱 부각했다. 전국 극장에서 절찬 상영 중이다.",1,,
네이버리뷰,,,사극영화[광대:소리꾼] 정보 시대 배경 심청가 인신매매 브로커,"아프고 서럽구나  고달픈 민초의 삶
가슴을 후벼파는 한 서린 소리 자락
광대의 눈물 장단에  피워내는 웃음꽃
안녕하세요.
간만의 시조 감상평으로
인사드려보는
영화 속 지식 발굴러
레이디광광입니다.
재개봉 :2022.02.24.
개봉 :2020.07.01.
등급 :12세 관람가
장르 :드라마
국가 :한국
러닝타임 :130분
​
감독 : 조정래
출연 : 이봉근, 이유리, 김하연,
박철민, 김동완
'소리꾼'을 재단장한
'광대: 소리꾼'을
키워드로 만나볼게요.
[영조 10년]
1730년을 배경으로 하고 있어요.
탐관오리의 부패와 수탈,
가뭄과 인신매매등으로
백성들의 삶이 매우
고달팠던 때로 그려지고 있죠.
​
실제로 이 시기는
붕당 간 다툼과 자연재해가
심했던 지라
영조는
균역법 실시, 신문고 부활 등의
민생안정책을 폈었죠.
​
더불어
박문수 등의 암행어사를
파견하기도 하였습니다.
[판소리]
조선 뮤지컬의 절절함이 느껴집니다.
소리꾼이 고수의 장단에 맞춰 창(소리), 말(아니리), 몸짓(너름새, 발림)을 곁들이며 이야기를 엮어가는
민속악이자 구비 서사시
소리꾼 학규 (이봉근)의 한 맺힌 소리
+
고수 대봉 (박철민)의 신명나는 장단
+
무형문화재 판소리 고수 전수자
조정래 감독의
24년의 노력
​
판소리는
뮤지컬 형식의 영화 속에서
흥과 한을 끌어내기에 충분합니다.
[심청전]
​
판소리 열두 마당 중
다섯 마당이 전해지고 있죠.
심청전, 춘향전, 수궁가
흥부가, 적벽가
그 가운데
'심청전'은 어떻게 만들어졌을까요?
​
소리로 먹고사는 심학규
삯바느질로 가족 부양하는 아내 간난이
그리고 어린 딸 청이
​
인신매매로 끌려간 간난이를 찾아
전국 팔도를 떠돌게 되죠.
청이는 인신매매에서 도망치지만
눈이 멀게 되죠.
이 과정에서
자기 이야기에 빗대
눈먼 아비 심학규와 공양미 삼백 석에
인당수에 빠지는 심청이에 대한
소리를 만들어가요.
​
이렇게 만들어진 심청가에
백성들은 웃고 울게 됩니다.
[인신매매]
​
조선 후기에는 흉년과 기근으로
먹고살기 어려워
자신이나 가족을 노비로 파는 일이
많았다고 해요.
​
이 과정에서 알선업자
즉, 인신매매 브로커들이
상당수 존재했다고 하네요.
​
수수료로 최대 몸값의 절반을
챙기기도 하는 악덕 장사꾼들이죠.
저는 본래 평해에 살던 사람으로
마침 대흉년을 당하여
유리걸식을 하다
지난해 9월에 저의 아비가 끝내
영덕에서 굶주려 죽고 말았습니다.
(중략)
지금 유골을 수습하여 땅에 묻어주려
생각해도 손쓸 방법이 없습니다.
부득이하게 저와 저의 여동생 귀매가
위 댁에 애걸하여 몸값을 7냥으로 결정하고
관과 장례에 드는 물품들을
구매하였습니다.
저는 종신토록 복역하고
귀매는 후소생을 아울러
영영 보은할 뜻으로
이에 문서를 작성하니
뒷날 (저의) 족속 중에
혹시 이의를 제기하는 이가 있거든
이 문서를 가지고서 관에 고하여
바로잡을 일입니다.
자매문기 1815(순조 15)  김고지
심학규의 아내 간난이 역시
알선업자들에게 끌려갔죠.
먼 눈에서 눈물이
뚝-뚝뚝 떨~어지며
심학규의 구슬픈 노래가
애달프기 그지없네요.
[희망의 노래]
​
노래가 주는 힘은 늘 놀랍습니다.
상상할 수도 없는 어려운 현실 속에서도
백성들은 웃습니다.
잠시 배불러서 좋고,
가족들과 함께여서 좋고,
따뜻한 잠자리가 좋아서죠.
​
큰 욕심은 없습니다.
정의로운 세상 속에서
소소하게 웃으며
살 수만 있다면-
백성들은 웃을 수 있어요.
​
강하게 피어나는 민초의 얼굴에
흥이 가득한 날이 오기를 바라봅니다.
​
​
​",1,,
