출처,형태,세부정보,날짜,내용,공감,비공감
네이버웹소설,연재본,1,2017-01-06 2:16,푸하하하하하핳ㅎㅎㅎㅎㅎㅎㅎ앜ㅋㅋㅋㅋ미친ㅋㅋㅋㅋ드래곤이 한식에 빠지겟네요!!!,0,26
네이버웹소설,연재본,1,2017-01-06 2:32,본격 드래곤이 한국 전통음식 먹게 되는 소설,0,6
네이버웹소설,연재본,1,2017-01-06 2:15,이제 소설 보다가 배고파지는 건가요....?,0,9
네이버웹소설,연재본,1,2022-04-29 8:46,웹툰보고 왔는데 이게 더 재밌는거 같네요!,0,0
네이버웹소설,연재본,1,2022-04-02 5:15,웹툰보고 알았습니다!!,0,0
네이버웹소설,연재본,1,2021-01-03 4:51,"오호, 푹 빠졌네요^^",0,0
네이버웹소설,연재본,1,2021-01-01 17:34,오 이런 거 좋네용 ㅎㅎ,0,0
네이버웹소설,연재본,1,2020-12-01 8:28,... 아름다울 미 친할 친 합쳐서 미친,0,0
네이버웹소설,연재본,1,2020-09-22 5:49,역대급 영지 설계사 보고 전작이 궁금해져서 왔는데 로이드 입장에서 보면 소설 주인공이 소설 세상으로 온 건가 그런데 청이가 여기로 오면 심봉사는? 눈도 못뜨고 딸도 잃고?,0,0
네이버웹소설,연재본,1,2020-08-27 5:54,웹툰으로 보세요^^,0,0
네이버웹소설,연재본,1,2020-08-13 4:28,웹툰 보고 한번 와봤어요 소설도 재밌네요!,0,0
네이버웹소설,연재본,1,2020-05-25 5:52,저 웹툰 보고 정주행하러 왔어요 소설이 더 재밌네요!,0,0
네이버웹소설,연재본,1,2020-03-03 7:02,웹툰 보고 왔습니다 소설 역시 재밌네요ㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2020-02-26 23:32,웹툰보고 왔어요!,0,0
네이버웹소설,연재본,1,2020-02-25 11:10,웹툰화가 되어서 정주행 하러 왔습니다 ㅠㅠㅠㅠ,0,0
네이버웹소설,연재본,1,2020-02-25 3:24,웹툰 댓글 보고 검색해서 왔는데 재밌닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2018-12-22 12:38,정주행 시작 합니다 ~~^^,0,0
