출처,형태,세부정보,작성자,날짜,내용,공감,비공감,답글수,원댓글ID
시리즈,연재본,,,2019-07-09 13:22,진짜 적은 여성의 인권조차 앗아간 남성들이었음을.,1165,43,,
시리즈,연재본,,,2019-07-08 9:19,애비 말하는 것봐 네가 구해오는 밥이면 충분하다고 그게 어떻게 나오는 밥인데 자기가 구해온 것도 아니면서,954,13,,
시리즈,연재본,,,2019-07-08 8:36,"애비,,, 눈 멀고 하루 종일 집에 앉아있는 사람이 하루종일 눈먼 아버지 봉양하기위해 구걸하러 다니는 사람보고 깨끗하고 바르게 살라니... ㅋㅋㅋㄱㅋㅋ 눈 멀기 전에도 그랬을 놈이고 청이 어머니가 돌아가시기 전에도 그랬을 놈이로고,,,,",855,10,,
시리즈,연재본,,,2019-07-10 7:51,스님 혹시 머리 밀때 뇌도 같이 미셨나요?,825,0,,
시리즈,연재본,,,2019-11-10 1:41,"와 어마어마한 연출에 담긴 메세지가 너무 끔찍해서 소름이 돋았다. 힘없는 이는 혼자 살아보겠다고 설치고 다니면 박해받고 외면받지만 미물답게 아양부리고 꼬리를 흔들면 예쁨(생존을 허락)받는다는 것. 그게 이 사회에서 스스로 살아갈 수 없는 존재인 여자라는 미물의 생존방식이라고 말하는 것으로 이해했다.청이의 구걸에서 달라진 점이라고는 사회가 바라는 여성성을 갖추었다는 것 뿐인데, 여성성이라는 사회가 정해준 모습을 따르는게 가장 효율적인 구걸방법이라는 것을 보여준다. 더이상 어리고 귀여운 유아기가 아니기에 끊겨버린 값싼 동정을 여성성으로 이어나간 꼴이다. 소란 일으켰다고 몽둥이로 얻어맞은 승상며느리도 노인 병수발 드는 어린 승상부인도 다 주인에게 꼬리 흔들며 예쁜짓 하지 않으면 생존할 수 없는 미물이 아닌가?",779,11,,
시리즈,연재본,,,2019-09-17 1:45,윗방아기....라는 단어가 생각나네요. 늙은놈 회춘을 위해 생리도 시작안한 아이를 벗겨서 같이 눕는....참 옛날부터 더러워요 한국남자들이. 국어사전에 이런단어가 있다는거 알고 얼마나 놀랐었는지..,688,11,,
시리즈,연재본,,,2019-07-21 3:59,아 황금자라 진짜 낚은 거였어?인당수 지키는 수호신인데 오라버니가 잡은거네인당수가 이상해진 원인은 오라버니인데 애꿎은 청이랑 마님만 희생당하는 구만,687,0,,
시리즈,연재본,,,2019-07-08 15:16,스새끼 다시봐도 빡치네..늙어빠진 남자쪽은 얼마나 숭고한 이유로 아내 데려왔다고ㅋ,667,0,,
시리즈,연재본,,,2019-09-03 5:20,"청이 재해석된 모습 처음 봤을 때 진짜 충격적이었는데.그렇게 찢어지게 가난해도 온갖 동화에선 청이를 귀방 규수처럼 그려냈었지가난해도 예쁜, 시련을 겪어도 예쁜",646,0,,
시리즈,연재본,,,2019-07-10 15:49,페미니즘 냄새가 아니라 '남성들에 의한 여성 차별의 흔적(근거)' 겠지.,641,8,,
시리즈,연재본,,,2019-07-11 23:31,"근데 너무나 맞는 말이네요. 우린 사람이죠. 사람인데 남성들 비위에 맞춰서 건강을 해치면서까지 꾸미고 애교부리고 아양떨고 남자들이 나눠먹는 떡에서 가끔 굴러 떨어지는 콩고물이나 주워먹고. 너무 화가나고 짜증나고, 당장의 나를 폄하하는 것 같지만, 결국 이게 현실입니다. 우린 화를 매야 해요. 왜 우리를 사람취급하지 않냐고, 화를 낼거라고. 더이상 참지 않는다고. 빨리 화내는 법을 배워서 우리의 권리를, 빼앗겼던 권력을 되찾읍시다.",631,26,,
시리즈,연재본,,,2020-01-23 14:12,"처음볼 때 작가님이 원작을 어떻게 각색할까라는 생각했었는데 앞부분 볼 때는 원작이랑 거의 관련성이 없다고 생각했는데 공양미 삼백석, 수양딸, 인당수에 빠지는 심청이 이 요소들이 엄청나게 자연스럽게 들어가있는 거 보고 감탄하고말았다. 작가님 정말 천재이신게 아닐까?",607,0,,
시리즈,연재본,,,2019-08-21 11:30,젊고 예쁜 여자 죽으면 아깝다는거 개소름 저거 영화 여친소에도 나오는 장면임 여주 자살하려니까 옥상에 있던 급식충들이 어차피 죽을껀데 한번 대주고 죽으라는장면 나옴ㅋㅋ 한남들 아깝다는 말에 저런생각 뒤로 하는듯 모든 한녀가 아주 잠재적 오나홀이고 공공재로 보이지?,606,10,,
시리즈,연재본,,,2019-07-10 2:33,"승상은 노환에 비만이고 첫날밤 생각으로 흥분하여 혈압이 올라서 쓰러진 것 같고, 인당수는 자라를 납치해서 그런 듯저 스님은 자신이 겪었던 일로 저런 부류의 사람들은 모두 그럴 것이다라는 성급한 일반화의 오류를 저지르고 있다.아마도 속세에서 대머리를 이유로 거절 당했는데 표면적인 이유는 경제적 능력을 이유로 들었을 것 같다. 그 후 마음에 상처를 입은 대머리는 속세를 떠나 스님이 되었지만 아직 마음속에 있는 업을 씻지 못해 열반에 들지 못한 거임",603,1,,
시리즈,연재본,,,2019-07-09 13:27,"진짜 권력은 사랑을 주고, 사랑을 뺏고, 사랑이란 이름으로 폭력을 휘두르는 '남성'에게 있음을. 이 모든걸 정당화 하기위해 아주 오래전부터 여성의 힘을 빼앗아 왔음을. 이제는 안다.",591,12,,
시리즈,연재본,,,2019-07-08 13:06,그렇지.... 저게 현실이지....어린이들을 위해 깨끗하고 단아한 복장으로 그려졌지만앞도 안 보이고 경제적으로 능력도 없고 먹지도 못해서 지병도 있을 테구 씻지도 못해서 저렇게 꼬질꼬질한게 진짜 심청이의 모습이다.,577,1,,
시리즈,연재본,,,2019-07-10 8:18,마님이 길에서 빌어먹던 거지를 데려와서 깨끗하게 씻기고 꾸미고 먹여서 살찌우는 이유가 뭐겠어 누가봐도 자기꺼란 표시네,566,0,,
시리즈,연재본,,,2019-07-08 13:35,마지막 대사가 인상깊네요..진짜 적..,564,2,,
시리즈,연재본,,,2019-07-14 14:28,"딱 그거네. '왜 이상하게 생각해? 나 의심해?ㅋ 별 일 없을거야. 와.. 나 못믿는거야? 너 어이없다. 왜 사람이 이상한 사람으로 몰아. 됐다 됐어 내가 무슨 너랑 ..... 그래 잘 생각했어~'라고 이상한 사람 몰이한 다음 강간해놓고 '합의하에 한 거다' '쟤가 날 유혹했다'라고 우기는 수많은 남자들, 그 강간범들 논리네.",562,3,,
시리즈,연재본,,,2019-07-29 13:48,"저게 그거죠...여자들은 밤에 위험하니 나가지 말라고 흔히들 하는 얘기...성범죄를 막기위해서는 멀쩡한 여성의 자유를 억압하는 것이 아니라 성범죄의 주 범죄자가 되는 반대 성별을 못나가게 하면 예방이 확실하게 되겠지만,,,결국 같히는건 여자... 마치 심청이가 자기를 위한다는 뻘소리하에 억지로 같힌것처럼ㅠㅠ",560,2,,
시리즈,연재본,,,2019-07-27 19:32,여기까지보고 진짜빡치는건 청이부터 부인까지 오만욕은 다먹었는데 정작 자라잡은 새끼는 거론도 안됐다는거야ㅡㅡ,554,0,,
시리즈,연재본,,,2019-11-24 4:06,생각해보면 이게맞는말. 애낳자마자 엄마죽고 장님아빠가 혼자키웠는데 얌전하고 일잘하고 깔끔하고 효성깊은 심청이란게 나올수가있나 뭐가뭔지도못배우고 구걸만했는데,553,1,,
시리즈,연재본,,,2019-09-01 5:17,나 저거 다음대사 딸 팔아서 어쩌고 내 체면이 뭐가 되냐 이런거 나오면 그냥 마을 몰살시켜주세요,546,2,,
시리즈,연재본,,,2019-07-14 15:26,여자를 죽음으로 몰아가는 열녀사상 토나옴저래봤자 여자의 공은 뒤로 하고 집안의 명성만 높이겠지,526,1,,
시리즈,연재본,,,2019-08-01 13:19,와 심봉사 저렇게 멀쩡하게 다닐 수 있으면서 청이를 지금껏 거리로 보냈냐.....그리고 도로 살림에 도움되는 물품들 가져가라고 그러더니 뺑덕언니가 버리니깐 승질 내는 거 보소... 저 연기로 밥벌이 충분히 잘 했을텐데 나쁜놈,517,0,,
시리즈,연재본,,,2019-07-31 16:01,"소재부터 비판적인 시각이 안 들어갈 수 없는 웹툰인데 왜 굳이 보고 욕하지... 시대상만해도 저 때 남자들은 빻을 수 밖에 없는데 그냥 같이 빻았다고 욕이나하면 될걸 왜 자기 욕 들은 것처럼 부들거리냐... 아, 설마 찔려서?!",514,6,,
시리즈,연재본,,,2019-11-28 18:22,대박.. 옛날에 봤던 심청전에서 나온 대사가 이런 식으로 연출된게 너무 소름돋아요 불쌍한 우리 아버지 아직도 눈을 못뜨셨다니 이 대목..이 대사가 여기선 끝끝내 본인밖에 보지못하는 아버지를 향한 의미로 넣으시다니 대단해요,513,0,,
시리즈,연재본,,,2019-07-28 13:38,저기선 그냥 남자들만 없어도 충분히 행복하겠다...,512,5,,
시리즈,연재본,,,2020-01-18 18:33,마님은 마님대로 좋고 뺑덕어미는 뺑덕어미대로 좋다.. 두 사람의 생각이 다 이해는 되지만 그래도 마음아프고 한편으로는 짜증나네 옛날 저 시대에도 저렇게 살았었는데 현대사회에서도 저렇게 살아야 하는거잖아 몇백년이 지나도 사회의 이런 가치관은 그대로인거같아서 답답,511,2,,
시리즈,연재본,,,2019-07-21 13:11,실제 원작에서도 승상부인이 청이한테 수양딸 제의를 했던걸로 기억하는데..이걸 이렇게 각색하시다니ㅠㅠㅠㅠ작가님 최고ㅠㅠㅠ,509,2,,
시리즈,연재본,,,2019-07-15 11:55,남자들이 한짓은 안보이고 피해자한테만 2차가해를 하는 공감능력 떨어지는 우리 사회랑 똑같다,509,4,,
